quote,author
"The voters have spoken, the bastards...",unknown
The warning message we sent the Russians was a calculated ambiguity that would be clearly understood.-- Alexander Haig,unknown
The way to make a small fortune in the commodities market is to start with a large fortune.,unknown
"There are two ways of disliking poetry; one way is to dislike it, the other is to read Pope.-- Oscar Wilde",unknown
"This is a country where people are free to practice their religion, regardless of race, creed, color, obesity, or number of dangling keys...",unknown
"To YOU I''m an atheist; to God, I''m the Loyal Opposition.-- Woody Allen",unknown
"To vacillate or not to vacillate, that is the question ... or is it?",unknown
Tom Hayden is the kind of politician who gives opportunism a bad name.-- Gore Vidal,unknown
"Under capitalism, man exploits man. Under Communism, it''s just the opposite.-- John Kenneth Galbraith",unknown
We don't care. We don't have to. We're the Phone Company.,unknown
We don't have to protect the environ-- the Second Coming is at hand.-- James Watt,unknown
We have reason to believe that man first walked upright to free his hands for masturbation.-- Lily Tomlin,unknown
We'll cross out that bridge when we come back to it later.,unknown
"Well, if you can''t believe what you read in a comic book, what CAN you believe?!-- Bullwinkle J. Moose [Jay Ward]",unknown
What is the robbing of a bank compared to the FOUNDING of a bank?-- Bertold Brecht,unknown
"When the going gets tough, the tough get empirical.-- Jon Carroll",unknown
"When you have to kill a man it costs nothing to be polite.-- Winston Churchill, on formal declarations of war",unknown
"Where shall I begin, please your Majesty? he asked. Begin at the beginning, the King said, gravely, and go on till you come to the end: then stop.-- Alice''s Adventures in Wonderland, Lewis Carroll",unknown
"Why be a man, when you can be a success?-- Bertold Brecht",unknown
"Would you tell me, please, which way I ought to go from here?",unknown
"That depends a good deal on where you want to get to, said the Cat.-- Lewis Carrol",unknown
"Yacc owes much to a most stimulating collection of users, who have goaded me beyond my inclination, and frequently beyond my ability in their endless search for one more feature. Their irritating unwillingness to learn how to do things my way has usually led to my doing things their way; most of the time, they have been right.-- S. C. Johnson, Yacc guide acknowledgements",unknown
"Yes, that was Richard Nixon. He used to be President. When he left the White House, the Secret Service would count the silverware.-- Woody Allen, Sleeper",unknown
"Yes, well, that''s just the sort of blinkered, Philistine pig-ignorance I''ve come to expect from you non-creative garbage. You sit there on your loathsome spotty behinds squeezing blackheads, not caring a tinker''s cuss for the struggling artist, you excrement! You whining, hypocritical toadies with your Tony Jacklin golf clubs, your colour TVs and your bleedin'' Masonic handshakes! You wouldn''t let me join, would you, you blackballing bastards?! WELL I WOULDN''T BECOME A FREEMASON NOW IF YOU GOT DOWN ON YOUR LOUSY STINKING KNEES AND BEGGED ME!",unknown
"You can''t teach people to be -- either they have it, or they don''t.-- Dagwood Bumstead",unknown
You'll never be the man your mother was!,unknown
"$100 invested at  interest for 100 years will become $100,000, at which time it will be worth absolutely nothing.-- Lazarus Long, Time Enough for Love",unknown
'Martyrdom' is the only way a person can become famous without ability.-- George Bernard Shaw,unknown
"''Tis not too late to seek a newer world.-- Alfred, Lord Tennyson",unknown
[Humanity] is the measure of all things.-- Protagoras,unknown
... And malt does more than Milton can/To justify God's ways to man-- A. E. Housman,unknown
"An infinite number of mathematicians walk into a bar. The first one orders a beer. The second orders half a beer. The third, a quarter of a beer. The bartender says You''re all idiots, and pours two beers.",unknown
Any code of your own that you haven't looked at for six or more months might as well have been written by someone else.-- Eagleson's Law,unknown
Any resemblance between the above and my own views is non-deterministic.,unknown
A Puritan is someone who is deathly afraid that someone somewhere is having fun.,unknown
A baby is an alimentary canal with a loud voice at one end and no responsibility at the other.,unknown
"A bachelor is a selfish, undeserving guy who has cheated some woman out of a divorce.-- Don Quinn",unknown
"A billion here, a billion there, sooner or later it adds up to real money.-- Everett Dirksen",unknown
A bore is someone who persists in holding his own views after we have enlightened him with ours.,unknown
"A budget is just a method of worrying before you spend money, as well as afterward.",unknown
A candidate is a person who gets money from the rich and votes from the poor to protect them from each other.,unknown
A celebrity is a person who is known for his well-knownness.,unknown
A child's education should begin at least 100 years before he is born.-- Oliver Wendell Holmes,unknown
A city is a large community where people are lonesome together.-- Herbert Prochnow,unknown
A clash of doctrine is not a disa-- it is an opportunity.,unknown
A closed mouth gathers no foot.,unknown
A conclusion is simply the place where someone got tired of thinking.,unknown
"A conference is a gathering of important people who singly can do nothing, but together can decide that nothing can be done.-- Fred Allen",unknown
A conservative is a man who believes that nothing should be done for the first time.-- Alfred E. Wiggam,unknown
A conservative is a man with two perfectly good legs who has never learned to walk.-- Franklin D. Roosevelt,unknown
A conservative is one who is too cowardly to fight and too fat to run.,unknown
A countryman between two lawyers is like a fish between two cats.-- Ben Franklin,unknown
A critic is a legless man who teaches running.-- Channing Pollock,unknown
A day without sunshine is like night.,unknown
A decision occurs when one abandons the obvious for the possible.-- P. Taylor,unknown
A diplomat is a man who can convince his wife she'd look stout in a fur coat.,unknown
A diplomat is someone who can tell you to go to hell in such a way that you will look forward to the trip.-- Caskie Stinnett,unknown
A diplomat is a man who always remembers a woman's birthday but never her age.-- Robert Frost,unknown
A diva who specializes in risque arias is an off-coloratura soprano ...,unknown
A door is what a dog is perpetually on the wrong side of.-- Ogden Nash,unknown
"A famous Lisp Hacker noticed an Undergraduate sitting in front of a Xerox 1108, trying to edit a complex Klone network via a browser. Wanting to help, the Hacker clicked one of the nodes in the network with the mouse, and asked what do you see? Very earnestly, the Undergraduate replied I see a cursor. The Hacker then quickly pressed the boot toggle at the back of the keyboard, while simultaneously hitting the Undergraduate over the head with a thick Interlisp Manual. The Undergraduate was then Enlightened.",unknown
A fanatic is a person who can't change his mind and won't change the subject.-- Winston Churchill,unknown
A fool must now and then be right by chance.,unknown
"A fool''s brain digests philosophy into folly, science into superstition, and art into pedantry. Hence University education.-- G. B. Shaw",unknown
A foolish consistency is the hobgoblin of little minds.-- Samuel Johnson,unknown
A formal parsing algorithm should not always be used.-- D. Gries,unknown
"A good listener is not only popular everywhere, but after a while he knows something.-- Wilson Mizner",unknown
A good memory does not equal pale ink.,unknown
A good workman is known by his tools.,unknown
A great many people think they are thinking when they are merely rearranging their prejudices.-- William James,unknown
A handful of friends is worth more than a wagon of gold.,unknown
A healthy male adult bore consumes each year one and a half times his weight in other people's patience.-- John Updike,unknown
A language that doesn't affect the way you think about programming is not worth knowing.,unknown
A language that doesn't have everything is actually easier to program in than some that do.-- Dennis M. Ritchie,unknown
"A large number of installed systems work by fiat. That is, they work by being declared to work.-- Anatol Holt",unknown
"A learning experience is one of those things that says, You know that thing you just did? Don''t do that.-- attributed to Douglas Adams",unknown
A little caution outflanks a large cavalry.-- Bismarck,unknown
"A little retrospection shows that although many fine, useful software systems have been designed by committees and built as part of multipart projects, those software systems that have excited passionate fans are those that are the products of one or a few designing minds, great designers. Consider Unix, APL, Pascal, Modula, the Smalltalk interface, even Fortran; and contrast them with Cobol, PL/I, Algol, MVS/370, and MS-DOS.-- Fred Brooks, Jr.",unknown
"A lot of people I know believe in positive thinking, and so do I. I believe everything positively stinks.-- Lew Col",unknown
A man forgives only when he is in the wrong.,unknown
A man is not old until regrets take the place of dreams.-- John Barrymore,unknown
A man paints with his brains and not with his hands.,unknown
"A man said to the Universe: Sir, I exist!",unknown
"However, replied the Universe, the fact has not created in me a sense of obligation.-- Stephen Crane",unknown
A man shall never be enriched by envy.-- Thomas Draxe,unknown
A man who fishes for marlin in ponds will put his money in Etruscan bonds.,unknown
A man who turns green has eschewed protein.,unknown
A man wrapped up in himself makes a very small package.,unknown
A manager would rather live with a problem that he cannot solve than accept a solution that he does not understand.-- G. Woolsey,unknown
A mathematician is a machine for converting coffee into theorems.,unknown
"A mathematician named Hall Has a hexahedronical ball, And the cube of its weight Times his pecker''s, plus eight Is his phone nu-- give him a call.",unknown
A model is an artifice for helping you convince yourself that you understand more about a system than you do.,unknown
A moose once bit my sister.,unknown
A morsel of genuine history is a thing so rare as to be always valuable.-- Thomas Jefferson,unknown
A nuclear war can ruin your whole day.,unknown
A nymph hits you and steals your virginity.,unknown
A penny saved is ridiculous.,unknown
A person is just about as big as the things that make them angry.,unknown
A person who knows only one side of a question knows little of that.,unknown
A person with one watch knows what time it is; a person with two watches is never sure. Proverb,unknown
A physicist is an atom's way of knowing about atoms.-- George Wald,unknown
A plucked goose doesn't lay golden eggs.,unknown
A professor is one who talks in someone else's sleep.,unknown
A psychiatrist is a person who will give you expensive answers that your wife will give you for free.,unknown
A quarrel is quickly settled when deserted by one party; there is no battle unless there be two.-- Seneca,unknown
A real patriot is the fellow who gets a parking ticket and rejoices that the system works.,unknown
A real person has two reasons for doing anything ... a good reason and the real reason.,unknown
"A recent study has found that concentrating on difficult off-screen objects, such as the faces of loved ones, causes eye strain in computer scientists. Researchers into the phenomenon cite the added concentration needed to make sense of such unnatural three dimensional objects ...",unknown
A right is not what someone gives you; it's what no one can take from you.-- Ramsey Clark,unknown
A scout troop consists of twelve little kids dressed like schmucks following a big schmuck dressed like a kid.-- Jack Benny,unknown
A second marriage is the triumph of hope over experience.-- Samuel Johnson,unknown
A sine curve goes off into infinity or at least to the end of the blackboard.,unknown
A smile is the shortest distance between two people.-- Victor Borge,unknown
A straw vote only shows which way the hot air blows.-- O'Henry,unknown
A student who changes the course of history is probably taking an exam.,unknown
A successful tool is one that was used to do something undreamed of by its author.-- S. C. Johnson,unknown
"A thing is worth precisely what it can do for you, not what you choose to pay for it.-- John Ruskin",unknown
"A total abstainer is one who abstains from everything but abstention, and especially from inactivity in the affairs of others.-- Ambrose Bierce, The Devil''s Dictionary",unknown
A truly wise man never plays leapfrog with a unicorn.,unknown
A university is what a college becomes when the faculty loses interest in students.-- John Ciardi,unknown
A vacuum is a hell of a lot better than some of the stuff that nature replaces it with.-- Tenessee Williams,unknown
A visit to a fresh place will bring strange work.,unknown
A visit to a strange place will bring fresh work.,unknown
A well adjusted person is one who makes the same mistake twice without getting nervous.,unknown
A well-known friend is a treasure.,unknown
A witty saying proves nothing.-- Voltaire,unknown
A woman without a man is like a fish without a bicycle.,unknown
A year spent in artificial intelligence is enough to make one believe in God.,unknown
"        Something you need only know the name of to be an Expert in computing. Useful in sentences like, We had better develop an Ada awareness.",unknown
"Abandon hope, all ye who press ENTER here.",unknown
Ability is useless unless it is used.-- Robert Half,unknown
About all some men accomplish in life is to send a son to Harvard.,unknown
About the only thing on a farm that has an easy time is the dog.,unknown
"About the time we think we can make ends meet, somebody moves the ends.-- Herbert Hoover",unknown
"        A statement or belief manifestly inconsistent with one''s own opinion.-- Ambrose Bierce, The Devil''s Dictionary",unknown
"Accident, n.:",unknown
"        A condition in which presence of mind is good, but absence of body is better.",unknown
"According to my best recollection, I don''t remember.-- Vincent Jimmy Blue Eyes Alo",unknown
"According to the latest official figures, 4 of all statistics are totally worthless.",unknown
"According to my scuba instructor, if a shark attacks, you''re supposed to poke it in the eye with your finger. After that, I suppose you should hit it in the face with a cream pie, or maybe hose it down with a seltzer bottle.-- Jerry L. Embry",unknown
Accordion: A bagpipe with pleats.,unknown
Accuracy: The vice of being right.,unknown
"Acquaintance, n.:",unknown
"        A person whom we know well enough to borrow from, but not well enough to lend to.-- Ambrose Bierce, The Devil''s Dictionary",unknown
Activity makes more men's fortunes than cautiousness.-- Marquis de Vauvenargues,unknown
Actors will happen in the best-regulated families.,unknown
"Ada is the work of an architect, not a computer scientist.-- Jean Ichbiah, inventor of Ada, weenie",unknown
Adapt. Enjoy. Survive.,unknown
Adde parvum parvo magnus acervus erit.,unknown
[Add little to little and there will be a big pile.]-- Ovid,unknown
"Admiration, n.:",unknown
"        Our polite recognition of another''s resemblance to ourselves.-- Ambrose Bierce, The Devil''s Dictionary",unknown
Adolescence: The stage between puberty and adultery.,unknown
"Adore, v.:",unknown
"        To venerate expectantly.-- Ambrose Bierce, The Devil''s Dictionary",unknown
Adult: One old enough to know better.,unknown
"Adversity makes men, prosperity monsters.-- French Proverb",unknown
Advertisement: The most truthful part of a newspaper.-- Thomas Jefferson,unknown
Advertising: The science of arresting the human intelligence long enough to get money from it.-- Stephen Leacock,unknown
"After Goliath''s defeat, giants ceased to command respect.-- Freeman Dyson",unknown
"After a number of decimal places, nobody gives a damn.",unknown
"After all is said and done, a lot more has been said than done.",unknown
"After all, what is your hosts'' purpose in having a party? Surely not for you to enjoy yourself; if that were their sole purpose, they''d have simply sent champagne and women over to your place by taxi.-- P. J. O''Rourke",unknown
"After any machine or unit has been assembled, extra components will be found on the bench.-- Industry at Work, Oilways, n2., 1972, pp. 16-17. Humble Oil & Refining Company., Houston, TX",unknown
"After the last of 16 mounting screws has been removed from an access cover, it will be discovered that the wrong access cover has been removed.",unknown
"After winning the pennant one year, Casey Stengel commented, I couldn''ta done it without my players.",unknown
Air is water with holes in it.,unknown
"Alas, I am dying beyond my means.-- Oscar Wilde, as he sipped champagne on his deathbed",unknown
"Albert Einstein, when asked to describe radio, replied: You see, wire telegraph is a kind of a very, very long cat. You pull his tail in New York and his head is meowing in Los Angeles. Do you understand this? And radio operates exactly the same way: you send signals here, they receive them there. The only difference is that there is no cat.",unknown
"Alexander Graham Bell is alive and well in New York, and still waiting for a dial tone.",unknown
Alimony and bribes will engage a large share of your wealth.,unknown
"Alimony is a system by which, when two people make a mistake, one of them keeps paying for it.-- Peggy Joyce",unknown
All I ask is a chance to prove that money can't make me happy.,unknown
All I ask of life is a constant and exaggerated sense of my own importance.,unknown
"All I kin say is when you finds yo''self wanderin'' in a peach orchard, ya don''t go lookin'' for rutabagas.-- Kingfish",unknown
"All a hacker needs is a tight PUSHJ, a loose pair of UUOs, and a warm place to shift.",unknown
"All happy families resemble one another, each unhappy in its own way.-- Tolstoy",unknown
All in all it's just another brick in the wall.,unknown
All my life I wanted to be someone; I guess I should have been more specific.-- Jane Wagner,unknown
"All programmers are optimists. Perhaps this modern sorcery especially attracts those who believe in happy endings and fairy godmothers. Perhaps the hundreds of nitty frustrations drive away all but those who habitually focus on the end goal. Perhaps it is merely that computers are young, programmers are younger, and the young are always optimists. But however the selection process works, the result is indisputable: This time it will surely run, or I just found the last bug.-- Frederick Brooks, Jr., The Mythical Man Month",unknown
All programmers are playwrights and all computers are lousy actors.,unknown
All progress is based upon a universal innate desire on the part of every organism to live beyond its income.-- Samuel Butler,unknown
All science is either physics or stamp collecting.-- E. Rutherford,unknown
All that glitters has a high refractive index.,unknown
All the world's a stage and most of us are desperately unrehearsed.-- Sean O'Casey,unknown
All things are possible except skiing through a revolving door.,unknown
"All through human history, tyrannies have tried to enforce obedience by prohibiting disrespect for the symbols of their power. The swastika is only one example of many in recent history.-- American Bar Association task force on flag burning",unknown
All true wisdom is found on T-shirts.,unknown
All wise men share one trait in common: the ability to listen.,unknown
Allen's Axiom:,unknown
"        When all else fails, read the instructions.",unknown
"Alliance, n.:",unknown
"        In international politics, the union of two thieves who have their hands so deeply inserted in each other''s pocket that they cannot separately plunder a third.-- Ambrose Bierce, The Devil''s Dictionary",unknown
"Although every American has a sense of h-- it is his birthright and encoded somewhere in the Constitu-- few Americans have never been able to cope with wit or irony, and even the simplest jokes often cause unease, especially today when every phrase must be examined for covert sexism, racism, ageism.-- Gore Vidal, The Essential Mencken, The Nation,",unknown
"           August 26/September 2, 1991.",unknown
Always borrow money from a pessimist; he doesn't expect to be paid back.,unknown
Always make the audience suffer as much as possible.-- Alfred Hitchcock,unknown
"Ambidextrous, adj.:",unknown
"        Able to pick with equal skill a right-hand pocket or a left.-- Ambrose Bierce, The Devil''s Dictionary",unknown
Ambition is a poor excuse for not having sense enough to be lazy.-- Charlie McCarthy,unknown
America had often been discovered before Columbus; it had just been hushed up.-- Oscar Wilde,unknown
America's best buy for a quarter is a telephone call to the right man.,unknown
"America, how can I write a holy litany in your silly mood?-- Allen Ginsberg",unknown
American Non Sequitur Society: We don't make sense. We like pizza.,unknown
"Amnesia used to be my favorite word, but then I forgot it.",unknown
"Among the chosen, you are the lucky one.",unknown
"Among the lucky, you are the chosen one.",unknown
An American's a person who isn't afraid to criticize the President but is always polite to traffic cops.,unknown
An Army travels on its stomach.,unknown
"An Englishman never enjoys himself, except for a noble purpose.-- A. P. Herbert",unknown
An economist is a man who states the obvious in terms of the incomprehensible.-- Alfred A. Knopf,unknown
An effective way to deal with predators is to taste terrible.,unknown
An elephant is a mouse with an operating system.,unknown
An idea is not responsible for the people who believe in it.,unknown
An idle mind is worth two in the bush.,unknown
An intellectual is someone whose mind watches itself.-- Albert Camus,unknown
"An NT server can be run by an idiot, and usually is.-- Tom Holub <doosh [AT] best.com>",unknown
,unknown
(Posted to comp.infosystems.www.servers.unix on 03 Sep 1997),unknown
An object never serves the same function as its i-- or its name.-- Rene Magritte,unknown
An ounce of prevention is worth a pound of cure.-- Benjamin Franklin,unknown
"Anarchy may not be the best form of government, but it''s better than no government at all.",unknown
"Anarchy: It''s not the law, it''s just a good idea.",unknown
And I alone am returned to wag the tail.,unknown
And now for something completely different.,unknown
"And now that the legislators and the do-gooders have so futilely inflicted so many systems upon society, may they end up where they should have begun: may they reject all systems, and try liberty...-- Frederic Bastiat",unknown
"And on the seventh day, He exited from append mode.",unknown
"And the Lord God said unto M-- and correctly, I believe ...-- Field Marshal Montgomery, opening a chapel service",unknown
"And the crowd was stilled. One elderly man, wondering at the sudden silence, turned to the Child and asked him to repeat what he had said. Wide-eyed, the Child raised his voice and said once again, Why, the Emperor has no clothes! He is naked!-- The Emperor''s New Clothes",unknown
"And there''s hamburger all over the highway in Mystic, Connecticut.",unknown
"And they told us, what they wanted...",unknown
"Was a sound that could kill some-one, from a distance.-- Kate Bush",unknown
"And this is a table ma''am. What in essence it consists of is a horizontal rectilinear plane surface maintained by four vertical columnar supports, which we call legs. The tables in this laboratory, ma''am, are as advanced in design as one will find anywhere in the world.-- Michael Frayn, The Tin Men",unknown
"And thou shalt eat it as barley cakes, and thou shalt bake it with dung that cometh out of man, in their sight...Then he [the Lord!] said unto me, Lo, I have given thee cow''s dung for man''s dung, and thou shalt prepare thy bread therewith.-- Ezek. 4:12-15 (KJV)",unknown
Anger is a prelude to courage.-- Eric Hoffer,unknown
Angular momentum makes the world go round.,unknown
Ankh if you love Isis.,unknown
"Anoint, v.:",unknown
"        To grease a king or other great functionary already sufficiently slippery.-- Ambrose Bierce, The Devil''s Dictionary",unknown
Another good night not to sleep in a eucalyptus tree.,unknown
"        Any tool when dropped, will roll into the least accessible corner of the workshop.",unknown
"        On the way to the corner, any dropped tool will first strike your toes.",unknown
Antimatter doesn't matter as a matter of fact.-- Piggins,unknown
"Antiquis temporibus, nati tibi similes in rupibus ventosissimis exponebantur ad necem. (In the good old days, children like you were left to perish on windswept crags.)",unknown
"Antonym, n.:",unknown
        The opposite of the word you're trying to think of.,unknown
"Any clod can have the facts, but having opinions is an art.-- Charles McCabe",unknown
Any excuse will serve a tyrant.-- Aesop,unknown
"Any fool can paint a picture, but it takes a wise person to be able to sell it.",unknown
"Any medium powerful enough to extend man''s reach is powerful enough to topple his world. To get the medium''s magic to work for one''s aims rather than against them is to attain literacy.-- Alan Kay, Computer Software, Scientific American, September 1984",unknown
Any shrine is better than self-worship.,unknown
Any small object that is accidentally dropped will hide under a larger object.,unknown
Any small object when dropped will hide under a larger object.,unknown
Any smoothly functioning technology will have the appearance of magic.-- Arthur C. Clarke,unknown
Any sufficiently advanced bureaucracy is indistinguishable from molasses.,unknown
"Blessed are they who Go Around in Circles, for they Shall be Known as Wheels.",unknown
Any sufficiently advanced stupidity is indistinguishable from malice.-- Paul Chvostek by way of Arthur C. Clarke (via John Ripley),unknown
"Any sufficiently advanced technology is indistinguishable from a rigged demo.-- Andy Finkel, computer guy",unknown
Any sufficiently advanced technology is indistinguishable from magic.-- Arthur C. Clarke,unknown
"Any two philosophers can tell each other all they know in two hours.-- Oliver Wendell Holmes, Jr.",unknown
Anybody with money to burn will easily find someone to tend the fire.,unknown
Anyone can hold the helm when the sea is calm.-- Publilius Syrus,unknown
"Anyone who cannot cope with mathematics is not fully human. At best he is a tolerable subhuman who has learned to wear shoes, bathe and not make messes in the house.-- Lazarus Long, Time Enough for Love",unknown
"Anyone who knows history, particularly the history of Europe, will, I think, recognize that the domination of education or of government by any one particular religious faith is never a happy arrangement for the people.-- Eleanor Roosevelt",unknown
"Anyone who wants to be paid for writing software is a fascist asshole.-- Richard M. Stallman, founder, Free Software Foundation",unknown
Anything anybody can say about America is true.-- Emmett Grogan,unknown
Anything free is worth what you pay for it.,unknown
Anything is possible if you don't know what you're talking about.,unknown
"Anything labeled NEW and/or IMPROVED isn''t. The label means the price went up. The label ALL NEW, COMPLETELY NEW, or GREAT NEW means the price went way up.",unknown
Anything worth doing is worth overdoing,unknown
"Anytime things appear to be going better, you have overlooked something.",unknown
"Arbolist . . . Look up the word. I don''t know, maybe I made it up. Anyway, it''s an arbo-tree-ist, somebody who knows about trees.-- George W. Bush, quoted in USA Today; August 21, 2001",unknown
Are we not men?,unknown
Are you a turtle?,unknown
Arithmetic is being able to count up to twenty without taking off your shoes.-- Mickey Mouse,unknown
Armadillo: To provide weapons to a Spanish pickle,unknown
"Army, n.:",unknown
        A body of men assembled to rectify the mistakes of the diplomats.-- Josephus Daniels,unknown
Army Axiom:,unknown
        An order that can be misunderstood will be misunderstood.,unknown
Arnold's Laws of Documentation:,unknown
"(1) If it should exist, it doesn''t.",unknown
"(2) If it does exist, it''s out of date.",unknown
(3) Only documentation for useless programs transcends the first two laws.,unknown
"Art is parasitic on life, just as criticism is parasitic on art.-- Harry S Truman (one of his more ridiculous comments)",unknown
"As Will Rogers would have said, There is no such things as a free variable.",unknown
"As Zeus said to Narcissus, Watch yourself.",unknown
"As far as we know, our computer has never had an undetected error.-- Weisert",unknown
"As goatherd learns his trade by goat, so writer learns his trade by wrote.",unknown
"As long as the answer is right, who cares if the question is wrong?",unknown
"As long as war is regarded as wicked, it will always have its fascination. When it is looked upon as vulgar, it will cease to be popular.-- Oscar Wilde",unknown
"As regards the individual nature, woman is defective and misbegotten, for the active power of the male seed tends to the production of a perfect likeness in the masculine sex; while the production of a woman comes from defect in the active power.-- Thomas Aquinas, prominent historical misogynist",unknown
"As soon as we started programming, we found to our surprise that it wasn''t as easy to get programs right as we had thought. Debugging had to be discovered. I can remember the exact instant when I realized that a large part of my life from then on was going to be spent in finding mistakes in my own programs.-- Maurice Wilkes discovers debugging, 1949",unknown
"As the poet said, Only God can make a t-- probably because it''s so hard to figure out how to get the bark on.-- Woody Allen",unknown
"As the system comes up, the component builders will from time to time appear, bearing hot new versions of their pi-- faster, smaller, more complete, or putatively less buggy. The replacement of a working component by a new version requires the same systematic testing procedure that adding a new component does, although it should require less time, for more complete and efficient test cases will usually be available.-- Frederick Brooks Jr., The Mythical Man Month",unknown
"As the trials of life continue to take their toll, remember that there is always a future in Computer Maintenance.-- National Lampoon, Deteriorada",unknown
"As to Jesus of Nazareth...I think the system of Morals and his Religion, as he left them to us, the best the World ever saw or is likely to see; but I apprehend it has received various corrupting Changes, and I have, with most of the present Dissenters in England, some doubts as to his divinity.-- Benjamin Franklin",unknown
Beware of the Turing Tar-pit in which everything is possible but nothing of interest is easy.,unknown
Beware the new TTY code!,unknown
"As with most fine things, chocolate has its season. There is a simple memory aid that you can use to determine whether it is the correct time to order chocolate dishes: any month whose name contains the letter A, E, or U is the proper time for chocolate.-- Sandra Boynton, Chocolate: The Consuming Passion",unknown
"As you read the scroll it vanishes,",unknown
and you hear maniacal laughter in the distance.,unknown
"Ashes to ashes, dust to dust, If God won''t have you, the devil must.",unknown
"Ask not for whom the telephone bell tolls ... if thou art in the bathtub, it tolls for thee.",unknown
Ask your boss to recons-- it's so difficult to take Go to hell for an answer.,unknown
"Assuming that either the left wing or the right wing gained control of the country, it would probably fly around in circles.-- Pat Paulsen",unknown
"At Group L, Stoffel oversees six first-rate programmers, a managerial challenge roughly comparable to herding cats.-- The Washington Post Magazine, June 9, 1985",unknown
"At a recent meeting in Snowmass, Colorado, a participant from Los Angeles fainted from hyperoxygenation, and we had to hold his head under the exhaust of a bus until he revived.",unknown
"At first sight, the idea of any rules or principles being superimposed on the creative mind seems more likely to hinder than to help, but this is quite untrue in practice. Disciplined thinking focuses inspiration rather than blinkers it.-- G. L. Glegg, The Design of Design",unknown
"At the heart of science is an essential tension between two seemingly contradictory attit-- an openness to new ideas, no matter how bizarre or counterintuitive they may be, and the most ruthless skeptical scrutiny of all ideas, old and new. This is how deep truths are winnowed from deep nonsense. Of course, scientists make mistakes in trying to understand the world, but there is a built-in error-correcting mechanism: The collective enterprise of creative thinking and skeptical thinking together keeps the field on track.-- Carl Sagan, The Fine Art of Baloney Detection, Parade,",unknown
"           February 1, 1987",unknown
"At the source of every error which is blamed on the computer you will find at least two human errors, including the error of blaming it on the computer.",unknown
"Athens built the Acropolis. Corinth was a commercial city, interested in purely materialistic things. Today we admire Athens, visit it, preserve the old temples, yet we hardly ever set foot in Corinth.-- Dr. Harold Urey, Nobel Laureate in chemistry",unknown
Atlee is a very modest man. And with reason.-- Winston Churchill,unknown
Auribus teneo lupum. (I hold a wolf by the ears.),unknown
"Automobile, n.:",unknown
        A four-wheeled vehicle that runs up hills and down pedestrians.,unknown
Automobile: A four-wheeled vehicle that runs up hills and down pedestrians.,unknown
"Average managers are concerned with methods, opinions, precedents.",unknown
Good managers are concerned with solving problems.,unknown
"Avoid Quiet and Placid persons unless you are in Need of Sleep.-- National Lampoon, Deteriorada",unknown
Avoid letting temper block progress; keep cool.-- William Feather,unknown
"Back off, man. I''m a scientist.",unknown
Badges? We don't need no stinking badges.,unknown
Bagdikian's Observation:,unknown
        Trying to be a first-rate reporter on the average American newspaper is like trying to play Bach's St. Matthew Passion on a ukelele.,unknown
"Bad sneakers and a piña colada, my friend Stompin'' down the avenue by Radio City With a transistor and a large sum of money to spend.-- Steely Dan",unknown
Baker's First Law of Federal Geometry:,unknown
        A block grant is a solid mass of money surrounded on all sides by governors.,unknown
"Barth''s Distinction: There are two types of people: those who divide people into two types, and those who don''t.",unknown
        A programming language. Related to certain social diseases in that those who have it will not admit it in polite company.,unknown
"Be assured that a walk through the ocean of most Souls would scarcely get your Feet wet. Fall not in Love, therefore: it will stick to your face.-- National Lampoon, Deteriorada",unknown
Be careful when a loop exits to the same place from side and bottom.,unknown
Be different: conform.,unknown
Be regular and orderly in your life so that you may be violent and original in your work.-- Gustave Flaubert,unknown
Be seeing you.,unknown
Beauty and harmony are as necessary to you as the very breath of life.,unknown
"Beauty is only skin deep, but Ugly goes straight to the bone.",unknown
Bees are not as busy as we think they are; they just cannot buzz any slower.-- Abe Martin,unknown
Behind every argument is someone's ignorance.-- Louis Brandeis,unknown
Behold the warranty: The bold print giveth and the fine print taketh away.,unknown
"Beifeld''s Principle: The probability of a young man meeting a desirable and receptive young female increases by pyramidal progression when he is already in the company of: (1) a date, (2) his wife, (3) a better looking and richer male friend.",unknown
Being stoned on marijuana isn't very different from being stoned on gin.-- Ralph Nader,unknown
Berkeley's First Law of Mistakes:,unknown
"        The moment you have worked out an answer, start checkin-- it probably isn''t right.",unknown
Corollary 1 to Berkeley's First Law of Mistakes:,unknown
        Always let an answer cool off for aw-- it should not be used while hot.,unknown
Corollary 2 to Berkeley's First Law of Mistakes:,unknown
        Check the answer you have worked out once -- before you tell it to anybody.,unknown
Berkeley's Second Law of Mistakes:,unknown
"        If there is an opportunity to make a mistake, sooner or later, the mistake will be made.",unknown
Better living a beggar than buried an emperor.,unknown
"Between the choice of two evils, I always pick the one I''ve never tried before.-- Mae West",unknown
"Between the legs of the women walking by, the dadaists imagined a monkey wrench and the surrealists a crystal cup. That''s lost.-- Ivan Chtcheglov",unknown
"Beware of bugs in the above code; I have only proved it correct, not tried it.-- Donald Knuth",unknown
Beware of Geeks bearing grifts.,unknown
Beware of Programmers who carry screwdrivers.-- Leonard Brandwein,unknown
Beware of a dark-haired man with a loud tie.,unknown
Beware of a tall dark man with a spoon up his nose.,unknown
