quote,author
Begin to weave and God will give you the thread.,German proverb
"The more you know yourself, the more you forgive yourself.",Confucius
"Without faith, nothing is possible. With it, nothing is impossible.",Mary Bethune
What worries you masters you.,Haddon Robinson
"Once we accept our limits, we go beyond them.",Albert Einstein
Whatever we expect with confidence becomes our own self-fulfilling prophecy.,Brian Tracy
Everything you can imagine is real.,Pablo Picasso
The shortest answer is doing.,Lord Herbert
Fear is a darkroom where negatives develop.,Usman Asif
The simplest things are often the truest.,Richard Bach
The truest wisdom is a resolute determination.,Napoleon Bonaparte
Life is the flower for which love is the honey.,Victor Hugo
Freedom is the right to live as we wish.,Epictetus
"Never ignore a gut feeling, but never believe that it''s enough.",Robert Heller
"Loss is nothing else but change,and change is Natures delight.",Marcus Aurelius
Someone is special only if you tell them.,Byron Pulsifer
Great talent finds happiness in execution.,Johann Wolfgang von Goethe
"There is no way to happiness, happiness is the way.",Thich Nhat Hanh
No alibi will save you from accepting the responsibility.,Napoleon Hill
"Argue for your limitations, and sure enough theyre yours.",Richard Bach
You can observe a lot just by watching.,Yogi Berra
Reality leaves a lot to the imagination.,John Lennon
He who talks more is sooner exhausted.,Lao Tzu
Well begun is half done.,Aristotle
He who is contented is rich.,Lao Tzu
Work out your own salvation. Do not depend on others.,Buddha
You can do it if you believe you can!,Napoleon Hill
What we achieve inwardly will change outer reality.,Plutarch
Our strength grows out of our weaknesses.,Ralph Waldo Emerson
We must become the change we want to see.,Mahatma Gandhi
"Happiness is found in doing, not merely possessing.",Napoleon Hill
We choose our destiny in the way we treat others.,Wit
Time is the most valuable thing a man can spend.,Theophrastus
No snowflake in an avalanche ever feels responsible.,Voltaire
"Smile, breathe, and go slowly.",Thich Nhat Hanh
Fortune favours the brave.,Virgil
"I believe in one thing only, the power of human will.",Joseph Stalin
"The more you know yourself, the more you forgive yourself.",Confucius
The best way out is always through.,Robert Frost
The mind unlearns with difficulty what it has long learned.,Seneca
I destroy my enemies when I make them my friends.,Abraham Lincoln
No garden is without its weeds.,Thomas Fuller
There is no failure except in no longer trying.,Elbert Hubbard
Kind words will unlock an iron door.,Turkish proverb
Problems are only opportunities with thorns on them.,Hugh Miller
Life is just a chance to grow a soul.,A. Powell Davies
"Reality does not conform to the ideal, but confirms it.",Gustave Flaubert
"If you can dream it, you can do it.",Walt Disney
Mountains cannot be surmounted except by winding paths.,Johann Wolfgang von Goethe
May our hearts garden of awakening bloom with hundreds of flowers.,Thich Nhat Hanh
Nobody will believe in you unless you believe in yourself.,Liberace
Fortune befriends the bold.,John Dryden
Keep true to the dreams of thy youth.,Friedrich von Schiller
You're never a loser until you quit trying.,Mike Ditka
Science is organized knowledge. Wisdom is organized life.,Immanuel Kant
Knowing is not enough; we must apply!,Johann Wolfgang von Goethe
"Strong beliefs win strong men, and then make them stronger.",Richard Bach
Autumn is a second spring when every leaf is a flower.,Albert Camus
"If you surrender to the wind, you can ride it.",Toni Morrison
Character develops itself in the stream of life.,Johann Wolfgang von Goethe
We must become the change we want to see.,Mahatma Gandhi
Keep yourself to the sunshine and you cannot see the shadow.,Helen Keller
Write your plans in pencil and give God the eraser.,Paulo Coelho
"Inspiration exists, but it has to find us working.",Pablo Picasso
All serious daring starts from within.,Harriet Beecher Stowe
"Pick battles big enough to matter, small enough to win.",Jonathan Kozol
Don't compromise yourself. You are all you've got.,Janis Joplin
He that is giddy thinks the world turns round.,William Shakespeare
"Someone remembers, someone cares; your name is whispered in someone''s prayers.",Unknown
Don't be pushed by your problems; be led by your dreams.,Unknown
A beautiful thing is never perfect.,Unknown
"Change your thoughts, change your life!",Unknown
Today is the tomorrow you worried about yesterday.,Unknown
A beautiful thing is never perfect.,Unknown
A stumble may prevent a fall.,Unknown
Put your future in good hands � your own.,Unknown
A short saying oft contains much wisdom.,Sophocles
Difficulties are things that show a person what they are.,Epictetus
"When you doubt your power, you give power to your doubt.",Honore de Balzac
The cause is hidden. The effect is visible to all.,Ovid
A weed is no more than a flower in disguise.,James Lowell
Keep true to the dreams of thy youth.,Friedrich von Schiller
A prudent question is one half of wisdom.,Francis Bacon
"The path to success is to take massive, determined action.",Tony Robbins
I allow my intuition to lead my path.,Manuel Puig
Nature takes away any faculty that is not used.,William R. Inge
All our knowledge has its origins in our perceptions.,Leonardo da Vinci
"If the shoe doesn''t fit, must we change the foot?",Gloria Steinem
Life shrinks or expands in proportion to one's courage.,Anais Nin
May our hearts garden of awakening bloom with hundreds of flowers.,Thich Nhat Hanh
"If you wish to be a writer, write.",Epictetus
"There is no way to prosperity, prosperity is the way.",Wayne Dyer
Talk doesn't cook rice.,Chinese proverb
"Wherever you go, go with all your heart.",Confucius
Either you run the day or the day runs you.,Jim Rohn
Write your plans in pencil and give God the eraser.,Paulo Coelho
Better be ignorant of a matter than half know it.,Publilius Syrus
Follow your instincts. That is where true wisdom manifests itself.,Oprah Winfrey
There never was a good knife made of bad steel.,Benjamin Franklin
"To accomplish great things, we must dream as well as act.",Anatole France
Patience is the companion of wisdom.,Saint Augustine
The mind is everything. What you think you become.,Buddha
"To enjoy life, we must touch much of it lightly.",Voltaire
"To fly, we have to have resistance.",Maya Lin
"The more you know yourself, the more you forgive yourself.",Confucius
The heart has its reasons which reason knows not of.,Blaise Pascal
"When you doubt your power, you give power to your doubt.",Honore de Balzac
"Be great in act, as you have been in thought.",William Shakespeare
Imagination rules the world.,Napoleon Bonaparte
Kind words do not cost much. Yet they accomplish much.,Blaise Pascal
"Wherever you go, go with all your heart.",Confucius
"In order to win, you must expect to win.",Richard Bach
You're never a loser until you quit trying.,Mike Ditka
There is no greater harm than that of time wasted.,Michelangelo
Intuition will tell the thinking mind where to look next.,Jonas Salk
Nature takes away any faculty that is not used.,William R. Inge
Doing nothing is better than being busy doing nothing.,Lao Tzu
It is better to travel well than to arrive.,Buddha
"Once you choose hope, anythings possible.",Christopher Reeve
"Do, or do not. There is no try.",Yoda
Fears are nothing more than a state of mind.,Napoleon Hill
Mountains cannot be surmounted except by winding paths.,Johann Wolfgang von Goethe
May our hearts garden of awakening bloom with hundreds of flowers.,Thich Nhat Hanh
The journey of a thousand miles begins with one step.,Lao Tzu
Efficiency is doing things right; effectiveness is doing the right things.,Peter Drucker
The greatest remedy for anger is delay.,Seneca
Blaze with the fire that is never extinguished.,Luisa Sigea
Don't cry because it's over. Smile because it happened.,Dr. Seuss
Time is the wisest counsellor of all.,Pericles
No is easier to do. Yes is easier to say.,Jason Fried
From little acorns mighty oaks do grow.,American proverb
To be wrong is nothing unless you continue to remember it.,Confucius
Write your plans in pencil and give God the eraser.,Paulo Coelho
"Once we accept our limits, we go beyond them.",Albert Einstein
He who talks more is sooner exhausted.,Lao Tzu
I never think of the future. It comes soon enough.,Albert Einstein
"Whatever happens, take responsibility.",Tony Robbins
Yesterdays home runs don't win today's games.,Babe Ruth
The world is always in movement.,V. Naipaul
"Inspiration exists, but it has to find us working.",Pablo Picasso
"Silence is deep as Eternity, Speech is shallow as Time.",Carlyle
Don't smother each other. No one can grow in the shade.,Leo F. Buscaglia
We must become the change we want to see.,Mahatma Gandhi
An ant on the move does more than a dozing ox,Lao Tzu
You can't shake hands with a clenched fist.,Indira Gandhi
A good decision is based on knowledge and not on numbers.,Plato
"Once we accept our limits, we go beyond them.",Albert Einstein
The cautious seldom err.,Confucius
Ideas are the beginning points of all fortunes.,Napoleon Hill
"If there is no struggle, there is no progress.",Frederick Douglass
"There is no way to prosperity, prosperity is the way.",Wayne Dyer
"Where there is great love, there are always miracles.",Willa Cather
Trusting our intuition often saves us from disaster.,Anne Wilson Schaef
Goals are the fuel in the furnace of achievement.,Brian Tracy
Each day provides its own gifts.,Marcus Aurelius
"Time you enjoy wasting, was not wasted.",John Lennon
Every problem has a gift for you in its hands.,Richard Bach
Sadness flies away on the wings of time.,Jean de la Fontaine
The only real valuable thing is intuition.,Albert Einstein
Fortune befriends the bold.,John Dryden
"I have often regretted my speech, never my silence.",Publilius Syrus
May our hearts garden of awakening bloom with hundreds of flowers.,Thich Nhat Hanh
I destroy my enemies when I make them my friends.,Abraham Lincoln
Sadness flies away on the wings of time.,Jean de la Fontaine
Never put off till tomorrow what you can do today.,Thomas Jefferson
Minds are like parachutes. They only function when open.,Thomas Dewar
"If a man does his best, what else is there?",George Patton
The secret of success is constancy to purpose.,Benjamin Disraeli
Imagination rules the world.,Napoleon Bonaparte
Well begun is half done.,Aristotle
The best way out is always through.,Robert Frost
"Without faith, nothing is possible. With it, nothing is impossible.",Mary Bethune
"Life is a progress, and not a station.",Ralph Emerson
All seasons are beautiful for the person who carries happiness within.,Horace Friess
"To avoid criticism, do nothing, say nothing, be nothing.",Elbert Hubbard
"Whatever happens, take responsibility.",Tony Robbins
All things change; nothing perishes.,Ovid
No one can make you feel inferior without your consent.,Eleanor Roosevelt
Absence makes the heart grow fonder.,Haynes Bayly
Imagination is the highest kite one can fly.,Lauren Bacall
Nothing happens unless first we dream.,Carl Sandburg
Minds are like parachutes. They only function when open.,Thomas Dewar
The beginning of knowledge is the discovery of something we do not understand.,Frank Herbert
"Love doesn''t make the world go round, love is what makes the ride worthwhile.",Elizabeth Browning
"Whenever you have eliminated the impossible, whatever remains, however improbable, must be the truth.",Arthur Conan Doyle
"Good timber does not grow with ease; the stronger the wind, the stronger the trees.",J. Willard Marriott
I believe that we are fundamentally the same and have the same basic potential.,Dalai Lama
The winds and waves are always on the side of the ablest navigators.,Edward Gibbon
The future belongs to those who believe in the beauty of their dreams.,Eleanor Roosevelt
Strength does not come from physical capacity. It comes from an indomitable will.,Mahatma Gandhi
Each misfortune you encounter will carry in it the seed of tomorrows good luck.,Og Mandino
The winds and waves are always on the side of the ablest navigators.,Edward Gibbon
To forgive is to set a prisoner free and realize that prisoner was you.,Lewis B. Smedes
"In separateness lies the world''s great misery, in compassion lies the world''s true strength.",Buddha
"By believing passionately in something that does not yet exist, we create it.",Nikos Kazantzakis
All the great performers I have worked with are fuelled by a personal dream.,John Eliot
One of the advantages of being disorderly is that one is constantly making exciting discoveries.,A. A. Milne
I never see what has been done; I only see what remains to be done.,Marie Curie
Begin at once to live and count each separate day as a separate life.,Seneca
"If you don''t know where you are going, you will probably end up somewhere else.",Lawrence Peter
"Love doesn''t make the world go round, love is what makes the ride worthwhile.",Elizabeth Browning
It is not so important to know everything as to appreciate what we learn.,Hannah More
The bird of paradise alights only upon the hand that does not grasp.,John Berry
Think as a wise man but communicate in the language of the people.,William Yeats
"Practice yourself, for heavens sake in little things, and then proceed to greater.",Epictetus
"If one does not know to which port is sailing, no wind is favorable.",Seneca
To be upset over what you don't have is to waste what you do have.,Ken S. Keyes
"If we did the things we are capable of, we would astound ourselves.",Thomas Edison
Nothing in life is to be feared. It is only to be understood.,Marie Curie
"Successful people ask better questions, and as a result, they get better answers.",Tony Robbins
Life is a process. We are a process. The universe is a process.,Anne Schaef
I think somehow we learn who we really are and then live with that decision.,Eleanor Roosevelt
We learn what we have said from those who listen to our speaking.,Kenneth Patton
A little knowledge that acts is worth infinitely more than much knowledge that is idle.,Kahlil Gibran
The beginning of knowledge is the discovery of something we do not understand.,Frank Herbert
The doors we open and close each day decide the lives we live.,Flora Whittemore
The worst bankrupt in the world is the person who has lost his enthusiasm.,H. W. Arnold
Happiness comes when your work and words are of benefit to yourself and others.,Buddha
Each misfortune you encounter will carry in it the seed of tomorrows good luck.,Og Mandino
Everything is perfect in the universe � even your desire to improve it.,Wayne Dyer
Begin at once to live and count each separate day as a separate life.,Seneca
"The universe is full of magical things, patiently waiting for our wits to grow sharper.",Eden Phillpotts
"Just as a candle cannot burn without fire, men cannot live without a spiritual life.",Buddha
A thing long expected takes the form of the unexpected when at last it comes.,Mark Twain
To forgive is to set a prisoner free and realize that prisoner was you.,Lewis B. Smedes
Action may not always bring happiness; but there is no happiness without action.,Benjamin Disraeli
I don't believe in failure. It is not failure if you enjoyed the process.,Oprah Winfrey
"What you do not want done to yourself, do not do to others.",Confucius
Short words are best and the old words when short are best of all.,Winston Churchill
"If you light a lamp for somebody, it will also brighten your path.",Buddha
I have done my best: that is about all the philosophy of living one needs.,Lin-yutang
Through perseverance many people win success out of what seemed destined to be certain failure.,Benjamin Disraeli
Give thanks for the rain of life that propels us to reach new horizons.,Byron Pulsifer
Flon's Law:,unknown
The secret to a rich life is to have more beginnings than endings.,Dave Weinbaum
It is only when the mind and character slumber that the dress can be seen.,Ralph Waldo Emerson
"If you don''t like something, change it. If you can''t change it, change your attitude.",Maya Angelou
Nothing in life is to be feared. It is only to be understood.,Marie Curie
"Reviewing what you have learned and learning anew, you are fit to be a teacher.",Confucius
"The world is a book, and those who do not travel read only a page.",Augustinus Sanctus
Action may not always bring happiness; but there is no happiness without action.,Benjamin Disraeli
So long as a person is capable of self-renewal they are a living being.,Henri-Frederic Amiel
"I''m not afraid of storms, for Im learning how to sail my ship.",Louisa Alcott
Think for yourselves and let others enjoy the privilege to do so too.,Voltaire
"How we spend our days is, of course, how we spend our lives.",Annie Dillard
"It has never been my object to record my dreams, just to realize them.",Man Ray
The most complicated achievements of thought are possible without the assistance of consciousness.,Sigmund Freud
"Be miserable. Or motivate yourself. Whatever has to be done, it''s always your choice.",Wayne Dyer
Most great people have attained their greatest success just one step beyond their greatest failure.,Napoleon Hill
The doors we open and close each day decide the lives we live.,Flora Whittemore
"If you think you can, you can. And if you think you can''t, you''re right.",Henry Ford
"Better to have loved and lost, than to have never loved at all.",St. Augustine
"Everyone thinks of changing the world, but no one thinks of changing himself.",Leo Tolstoy
"Whenever you have eliminated the impossible, whatever remains, however improbable, must be the truth.",Arthur Conan Doyle
The best way to pay for a lovely moment is to enjoy it.,Richard Bach
"You have enemies? Good. That means you''ve stood up for something, sometime in your life.",Winston Churchill
Slow down and everything you are chasing will come around and catch you.,John De Paola
Your worst enemy cannot harm you as much as your own unguarded thoughts.,Buddha
"I always wanted to be somebody, but I should have been more specific.",Lily Tomlin
"Yeah we all shine on, like the moon, and the stars, and the sun.",John Lennon
Knowledge is a process of piling up facts; wisdom lies in their simplification.,Martin Fischer
Life is like riding a bicycle. To keep your balance you must keep moving.,Albert Einstein
We should all be thankful for those people who rekindle the inner spirit.,Albert Schweitzer
"In separateness lies the world''s great misery, in compassion lies the world''s true strength.",Buddha
"Reviewing what you have learned and learning anew, you are fit to be a teacher.",Confucius
"What you do not want done to yourself, do not do to others.",Confucius
Opportunity is missed by most because it is dressed in overalls and looks like work.,Thomas Edison
Feeling and longing are the motive forces behind all human endeavor and human creations.,Albert Einstein
In the end we retain from our studies only that which we practically apply.,Johann Wolfgang von Goethe
It is only when the mind and character slumber that the dress can be seen.,Ralph Waldo Emerson
"If you correct your mind, the rest of your life will fall into place.",Lao Tzu
The world makes way for the man who knows where he is going.,Ralph Emerson
When your desires are strong enough you will appear to possess superhuman powers to achieve.,Napoleon Hill
Patience and perseverance have a magical effect before which difficulties disappear and obstacles vanish.,John Adams
I cannot make my days longer so I strive to make them better.,Henry David Thoreau
Think for yourselves and let others enjoy the privilege to do so too.,Voltaire
Tension is who you think you should be. Relaxation is who you are.,Chinese proverb
Never bend your head. Always hold it high. Look the world right in the eye.,Helen Keller
One who gains strength by overcoming obstacles possesses the only strength which can overcome adversity.,Albert Schweitzer
"We cannot do everything at once, but we can do something at once.",Calvin Coolidge
You have to do your own growing no matter how tall your grandfather was.,Abraham Lincoln
It is fatal to enter any war without the will to win it.,General Douglas MacArthur
Be what you are. This is the first step toward becoming better than you are.,Julius Charles Hare
There is nothing in a caterpillar that tells you it's going to be a butterfly.,Buckminster Fuller
"Whenever you have eliminated the impossible, whatever remains, however improbable, must be the truth.",Arthur Conan Doyle
"Love and compassion open our own inner life, reducing stress, distrust and loneliness.",Dalai Lama
Ideals are an imaginative understanding of that which is desirable in that which is possible.,Walter Lippmann
The superior man is satisfied and composed; the mean man is always full of distress.,Confucius
"If you spend too much time thinking about a thing, you''ll never get it done.",Bruce Lee
The way is not in the sky. The way is in the heart.,Buddha
I don't believe in failure. It is not failure if you enjoyed the process.,Oprah Winfrey
Most people are about as happy as they make up their minds to be,Abraham Lincoln
"Three things cannot be long hidden: the sun, the moon, and the truth.",Buddha
"More often than not, anger is actually an indication of weakness rather than of strength.",Dalai Lama
"Before you put on a frown, make absolutely sure there are no smiles available.",Jim Beggs
A man of ability and the desire to accomplish something can do anything.,Donald Kircher
"You, yourself, as much as anybody in the entire universe, deserve your love and affection.",Buddha
It is not uncommon for people to spend their whole life waiting to start living.,Eckhart Tolle
We learn what we have said from those who listen to our speaking.,Kenneth Patton
It is only when the mind and character slumber that the dress can be seen.,Ralph Waldo Emerson
The way is not in the sky. The way is in the heart.,Buddha
Don't be afraid to go out on a limb. That's where the fruit is.,H. Jackson Browne
Wicked people are always surprised to find ability in those that are good.,Marquis Vauvenargues
"Life is so constructed that an event does not, cannot, will not, match the expectation.",Charlotte Bronte
Ideals are an imaginative understanding of that which is desirable in that which is possible.,Walter Lippmann
"If you change the way you look at things, the things you look at change.",Wayne Dyer
No man can succeed in a line of endeavor which he does not like.,Napoleon Hill
Think for yourselves and let others enjoy the privilege to do so too.,Voltaire
"You will not be punished for your anger, you will be punished by your anger.",Buddha
The future belongs to those who believe in the beauty of their dreams.,Eleanor Roosevelt
I believe that we are fundamentally the same and have the same basic potential.,Dalai Lama
Each misfortune you encounter will carry in it the seed of tomorrows good luck.,Og Mandino
Don't judge each day by the harvest you reap but by the seeds you plant.,Robert Stevenson
"They say that time changes things, but you actually have to change them yourself.",Andy Warhol
"Never apologize for showing feelings. When you do so, you apologize for the truth.",Benjamin Disraeli
The truth you believe and cling to makes you unavailable to hear anything new.,Pema Chodron
"Adversity has the effect of eliciting talents, which in prosperous circumstances would have lain dormant.",Horace
The winds and waves are always on the side of the ablest navigators.,Edward Gibbon
"If you light a lamp for somebody, it will also brighten your path.",Buddha
"If you spend your whole life waiting for the storm, you''ll never enjoy the sunshine.",Morris West
The only limit to our realization of tomorrow will be our doubts of today.,Franklin Roosevelt
Every action of our lives touches on some chord that will vibrate in eternity.,Edwin Chapin
"Shoot for the moon. Even if you miss, you''ll land among the stars.",Les Brown
"Just as a candle cannot burn without fire, men cannot live without a spiritual life.",Buddha
"Adversity has the effect of eliciting talents, which in prosperous circumstances would have lain dormant.",Horace
"I''m not afraid of storms, for Im learning how to sail my ship.",Louisa Alcott
It does not matter how slowly you go as long as you do not stop.,Confucius
The truth you believe and cling to makes you unavailable to hear anything new.,Pema Chodron
To forgive is to set a prisoner free and realize that prisoner was you.,Lewis B. Smedes
Most folks are about as happy as they make up their minds to be.,Abraham Lincoln
"If you would take, you must first give, this is the beginning of intelligence.",Lao Tzu
"The universe is full of magical things, patiently waiting for our wits to grow sharper.",Eden Phillpotts
It is on our failures that we base a new and different and better success.,Havelock Ellis
"If you spend too much time thinking about a thing, you''ll never get it done.",Bruce Lee
Quality is never an accident; it is always the result of intelligent effort.,John Ruskin
To study and not think is a waste. To think and not study is dangerous.,Confucius
"Life is a succession of lessons, which must be lived to be understood.",Ralph Emerson
I have done my best: that is about all the philosophy of living one needs.,Lin-yutang
Time changes everything except something within us which is always surprised by change.,Thomas Hardy
Most powerful is he who has himself in his own power.,Seneca
You are important enough to ask and you are blessed enough to receive back.,Wayne Dyer
Knowledge is a process of piling up facts; wisdom lies in their simplification.,Martin Fischer
It is fatal to enter any war without the will to win it.,General Douglas MacArthur
"If you spend too much time thinking about a thing, you''ll never get it done.",Bruce Lee
